comm_id,from_suspect_id,to_suspect_id,comm_type,comm_date,comm_time,duration_seconds,is_encrypted,relevance_score,analyzed
COMM-0000001,VD-000028,VD-000528,E-Mail,2023-07-18,23:39,2629.0,True,10,True
COMM-0000002,VD-000665,VD-000973,Signal,2024-09-29,19:03,1933.0,True,2,False
COMM-0000003,VD-000386,VD-000243,E-Mail,2024-12-05,22:21,,False,9,True
COMM-0000004,VD-000930,VD-000146,Telegram,2023-05-12,01:09,2062.0,True,5,True
COMM-0000005,VD-000634,VD-000878,Telefonat,2024-05-27,19:34,363.0,True,4,True
COMM-0000006,VD-000687,VD-000344,Persönlicher Kontakt,2023-11-12,22:35,,False,4,False
COMM-0000007,VD-000620,VD-000243,Persönlicher Kontakt,2025-10-25,10:36,1537.0,False,8,True
COMM-0000008,VD-000975,VD-000736,Brief,2023-06-14,05:30,1456.0,True,10,False
COMM-0000009,VD-000741,VD-000804,Signal,2024-06-20,22:51,3460.0,False,5,True
COMM-0000010,VD-000616,VD-000143,Social Media,2024-05-29,12:18,483.0,True,1,True
COMM-0000011,VD-000598,VD-000028,Telefonat,2023-12-05,05:46,349.0,True,8,False
COMM-0000012,VD-000951,VD-000386,Persönlicher Kontakt,2024-05-14,19:00,26.0,False,2,True
COMM-0000013,VD-000190,VD-000752,Social Media,2024-02-06,05:06,,False,3,False
COMM-0000014,VD-000186,VD-000763,Telefonat,2025-01-04,04:49,2058.0,True,4,False
COMM-0000015,VD-000567,VD-000667,WhatsApp,2023-09-30,07:33,2231.0,False,6,False
COMM-0000016,VD-000490,VD-000632,Persönlicher Kontakt,2025-05-10,22:12,663.0,True,6,False
COMM-0000017,VD-000059,VD-000057,Telefonat,2023-01-04,00:17,2123.0,True,6,True
COMM-0000018,VD-000889,VD-000807,SMS,2024-09-14,20:21,,False,6,True
COMM-0000019,VD-000759,VD-000207,Signal,2024-03-11,15:02,2385.0,True,7,False
COMM-0000020,VD-000577,VD-000141,Social Media,2023-04-07,21:03,2858.0,False,2,False
COMM-0000021,VD-000459,VD-000950,Telefonat,2023-10-01,03:41,,False,5,True
COMM-0000022,VD-000149,VD-000958,Persönlicher Kontakt,2023-08-23,20:49,1720.0,False,3,False
COMM-0000023,VD-000308,VD-000926,Brief,2024-10-10,13:31,,True,3,False
COMM-0000024,VD-000554,VD-000788,E-Mail,2025-07-18,05:07,973.0,True,6,True
COMM-0000025,VD-000415,VD-000099,E-Mail,2025-10-19,18:47,,False,1,False
COMM-0000026,VD-000795,VD-000937,WhatsApp,2025-02-06,20:24,441.0,True,2,True
COMM-0000027,VD-000222,VD-000861,Brief,2023-10-08,19:09,3446.0,True,5,True
COMM-0000028,VD-000169,VD-000780,Social Media,2023-11-14,06:46,3070.0,False,5,False
COMM-0000029,VD-000777,VD-000275,SMS,2024-08-31,20:08,74.0,False,4,False
COMM-0000030,VD-000731,VD-000968,Social Media,2024-01-18,23:53,970.0,True,6,True
COMM-0000031,VD-000361,VD-000556,E-Mail,2023-06-15,15:47,,False,6,True
COMM-0000032,VD-000578,VD-000847,E-Mail,2025-01-25,07:18,,True,4,True
COMM-0000033,VD-000077,VD-000077,Telegram,2023-07-06,15:02,,True,8,True
COMM-0000034,VD-000918,VD-000583,Persönlicher Kontakt,2024-05-02,07:52,358.0,True,2,True
COMM-0000035,VD-000648,VD-000445,E-Mail,2025-07-27,07:31,1542.0,False,7,False
COMM-0000036,VD-000176,VD-000223,Telefonat,2023-08-14,02:27,1266.0,True,1,True
COMM-0000037,VD-000773,VD-000131,Telefonat,2023-08-01,13:25,,False,8,True
COMM-0000038,VD-000979,VD-000978,Social Media,2025-01-31,19:18,640.0,False,5,False
COMM-0000039,VD-000128,VD-000129,Persönlicher Kontakt,2024-07-08,13:15,,False,9,True
COMM-0000040,VD-000538,VD-000156,WhatsApp,2023-12-04,07:04,2040.0,True,7,False
COMM-0000041,VD-000216,VD-000325,Telegram,2024-05-01,12:35,,False,6,False
COMM-0000042,VD-000569,VD-000511,Social Media,2024-10-16,01:24,2691.0,False,7,True
COMM-0000043,VD-000668,VD-000971,Social Media,2025-03-08,23:22,115.0,False,6,False
COMM-0000044,VD-000215,VD-000549,Persönlicher Kontakt,2025-05-08,23:11,,False,2,True
COMM-0000045,VD-000479,VD-000585,Signal,2023-05-28,17:53,,False,10,False
COMM-0000046,VD-000683,VD-000429,Telefonat,2025-04-30,06:20,750.0,True,9,True
COMM-0000047,VD-000348,VD-000796,Signal,2023-11-12,11:30,363.0,False,10,False
COMM-0000048,VD-000198,VD-000154,Signal,2025-04-07,03:59,,False,8,False
COMM-0000049,VD-000938,VD-000057,E-Mail,2025-07-20,06:29,1656.0,True,10,True
COMM-0000050,VD-000189,VD-000285,Telegram,2024-05-27,20:41,527.0,False,2,False
COMM-0000051,VD-000279,VD-000591,Brief,2025-10-17,08:33,2551.0,False,9,True
COMM-0000052,VD-000045,VD-000807,Telegram,2025-02-27,16:12,3038.0,True,9,True
COMM-0000053,VD-000861,VD-000110,Social Media,2023-05-16,03:19,1537.0,True,7,True
