incident_id,crime_category,incident_date,incident_time,district,latitude,longitude,street_name,priority,status,reported_by,resolved_date,officers_assigned,damage_estimate_eur,witnesses_count,evidence_items
AZ-2023-000001,Erpressung,2023-08-17,00:47,Kalbach-Riedberg,50.055178,8.713563,Andrei-Weihmann-Ring,Dringend,Ermittlung läuft,Zeuge,,1,0.0,1,0
AZ-2023-000002,Bedrohung,2024-02-12,22:41,Altstadt,50.054679,8.665279,Hellmuth-Etzold-Allee,Dringend,Abgeschlossen,Patrouille,2024-09-20,3,0.0,2,3
AZ-2025-000003,Verkehrsdelikt,2023-07-09,12:06,Bahnhofsviertel,50.076912,8.558763,Gülay-Weihmann-Weg,Niedrig,Ermittlung läuft,Notruf,,1,41470.23,4,11
AZ-2023-000004,Computerbetrug,2024-01-29,22:04,Nordend-West,50.056022,8.566919,Daniela-Löchel-Gasse,Niedrig,Ermittlung läuft,Notruf,,3,41705.52,1,11
AZ-2025-000005,Betrug,2024-12-28,06:42,Seckbach,50.183598,8.684556,Domenico-Harloff-Platz,Mittel,Ermittlung läuft,Opfer,,4,49476.17,5,7
AZ-2025-000006,Raub,2024-10-26,01:14,Nieder-Eschbach,50.08721,8.49371,Camilla-Gumprich-Allee,Mittel,Eingestellt,Notruf,2025-04-12,4,32142.59,1,8
AZ-2024-000007,Raub,2023-10-13,07:47,Bergen-Enkheim,50.149462,8.612526,Hartmannstraße,Mittel,Abgeschlossen,Opfer,2024-03-02,4,0.0,0,3
AZ-2024-000008,Unterschlagung,2023-11-10,20:10,Seckbach,50.122354,8.598204,Albersallee,Hoch,Eingestellt,Anonym,2024-06-20,1,5727.59,4,8
AZ-2025-000009,Urkundenfälschung,2024-11-27,03:18,Praunheim,50.015584,8.708846,Hilda-Löchel-Ring,Mittel,Abgeschlossen,Anonym,2025-07-24,1,14922.24,5,6
AZ-2025-000010,Raub,2023-11-10,11:48,Altstadt,50.18663,8.774558,Försterplatz,Dringend,Ermittlung läuft,Zeuge,,1,43936.09,2,7
AZ-2025-000011,Urkundenfälschung,2023-04-29,07:56,Westend-Nord,50.030418,8.631405,Dobesgasse,Mittel,Abgeschlossen,Opfer,2023-06-15,4,8256.35,4,13
AZ-2024-000012,Hausfriedensbruch,2024-03-09,17:48,Bonames,50.143331,8.602869,Dietzring,Dringend,Abgeschlossen,Zeuge,2024-06-26,2,0.0,2,0
AZ-2023-000013,Computerbetrug,2024-04-16,18:14,Westend-Nord,50.142411,8.491311,Schleichring,Hoch,Ermittlung läuft,Zeuge,,2,0.0,3,6
