district,vorfaelle,gesamtschaden,durchschnittliche_bearbeitungszeit,durchschnittliche_beweismittel
Höchst,146,2598309.28,131.64,7.98
Schwanheim,145,2341452.74,96.11,7.63
Riederwald,138,2402718.17,107.09,7.51
Nieder-Erlenbach,138,2477467.94,108.93,7.23
Bornheim,135,1998154.32,117.77,6.7
Nieder-Eschbach,131,2122982.91,119.3,7.03
Frankfurter Berg,131,1910408.77,120.02,8.23
Dornbusch,130,2125347.65,112.65,7.58
Kalbach-Riedberg,130,2416532.29,116.55,7.3
Bonames,129,2533857.37,109.02,7.42
Harheim,128,2408003.5,112.93,7.61
Gallus,127,2161409.14,119.91,7.07
Westend-Nord,127,2074626.48,113.11,7.7
Bergen-Enkheim,127,2113428.26,104.82,7.28
Eckenheim,126,2550910.09,118.25,7.67
Niederursel,126,1801737.45,129.23,7.44
Ginnheim,126,2542342.12,121.13,7.93
Nied,126,2340641.46,109.36,6.9
Praunheim,124,2251636.92,95.61,7.61
Sachsenhausen-Nord,124,2198006.07,118.08,7.68
Berkersheim,123,2112300.84,110.81,7.27
Rödelheim,123,2181651.57,125.69,6.94
Seckbach,120,2039864.74,121.47,7.57
Altstadt,120,2241481.31,112.99,7.94
Westend-Süd,120,1983021.16,120.18,8.2
Nordend-West,120,2543767.88,104.23,7.35
Innenstadt,119,2156423.08,127.66,7.35
Zeilsheim,119,2218455.08,101.92,7.65
Unterliederbach,119,2032939.27,116.39,7.3
Fechenheim,118,1901866.15,106.19,7.12
Bockenheim,117,1721682.94,115.52,7.49
Sindlingen,116,1931749.05,115.86,8.21
Sossenheim,112,2073170.03,117.21,7.03
Nordend-Ost,111,1862662.45,98.29,7.12
Griesheim,109,1811516.64,94.03,6.98
Bahnhofsviertel,108,2237344.43,115.06,6.83
Ostend,108,1768591.81,102.0,7.51
Preungesheim,104,1969468.77,104.18,7.29
Hausen,101,1994160.32,102.19,7.39
Sachsenhausen-Süd,100,1829803.54,100.97,6.9
Eschersheim,99,1471090.13,101.66,6.48
