Kategorie,Metrik,Wert,Einheit
Übersicht,Gesamtvorfälle,5000.0,Anzahl
Übersicht,Aufklärungsquote,34.78,%
Übersicht,Durchschnittliche Bearbeitungszeit,184.4,Tage
Übersicht,Gesamtschaden,87452984.12,EUR
Top Delikte,1. Körperverletzung,374.0,Vorfälle
Top Delikte,2. Urkundenfälschung,358.0,Vorfälle
Top Delikte,3. Hausfriedensbruch,358.0,Vorfälle
Top Delikte,4. Beleidigung,358.0,Vorfälle
Top Delikte,5. Diebstahl,352.0,Vorfälle
Top Stadtteile,1. Höchst,146.0,Vorfälle
Top Stadtteile,2. Schwanheim,145.0,Vorfälle
Top Stadtteile,3. Nieder-Erlenbach,138.0,Vorfälle
Top Stadtteile,4. Riederwald,138.0,Vorfälle
Top Stadtteile,5. Bornheim,135.0,Vorfälle
Verdächtige,Gesamtzahl,1000.0,Personen
Verdächtige,Durchschnittsalter,41.3,Jahre
Verdächtige,Polizeibekannt,502.0,Personen
Kommunikation,Gesamtdatensätze,10000.0,Einträge
Kommunikation,Verschlüsselungsrate,50.3,%
